,level_0,index,name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
34,54,1111,HD 11964 Ab,Confirmed,0.622,0.056,0.056,0.622,0.056,0.056,,,,1945.0,26.0,26.0,3.16,0.19,0.19,0.041,0.017,0.017,,,,0.092996,2005.0,2024-07-30,155.0,,,2454170.0,380.0,380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 11964 A,29.2875,-10.2422222,6.42,,,,,33.98,,,0.17,,,1.125,,,2.18,0.29,0.29,G5IV,9.56,,,5248.0,,,,,"GJ 81.1 A, GAL 315 A, LDS 60 A"
35,56,1122,HD 125612 Ab,Confirmed,3.0,,,3.0,,,,,,502.0,14.0,14.0,1.37,,,0.46,0.01,0.01,,,,0.025937,2007.0,2024-08-01,41.5,1.7,1.7,54894.9,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 125612 A,215.225,-17.4813889,8.31,,,,,52.82,,,0.24,0.03,0.03,1.1,0.07,0.07,1.05,0.08,0.08,G3V,2.1,,,5897.0,40.0,40.0,,,
36,59,1128,HD 126614 Ab,Confirmed,0.38,0.04,0.04,0.38,0.04,0.04,,,,1244.0,17.0,17.0,2.35,0.02,0.02,0.41,0.1,0.1,,,,0.032459,2010.0,2024-07-28,243.0,19.0,19.0,2453808.0,52.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 126614 b,,HD 126614 A,216.7,-5.1777778,8.81,,,,,72.4,5.3,5.3,0.56,0.04,0.04,1.145,0.03,0.03,1.09,0.06,0.06,K0V,7.2,2.0,2.0,5585.0,44.0,44.0,,,HD 126614
37,60,1143,HD 13167 Ab,Confirmed,3.31,0.16,0.16,3.31,0.16,0.16,1.167,,,2613.0,17.0,17.0,4.1,0.43,0.43,0.563,0.033,0.033,,,,,2018.0,2024-08-06,265.0,6.0,6.0,2462162.0,54.0,54.0,,,,,,,,,,,,,,,,,,,48.2,2.7,2.7,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 13167 A,32.05743,-24.69541,8.34,,,,,149.6,,,,,,1.35,,,2.39,,,G3V,,,,5671.0,,,,,
38,61,1147,HD 133131 Ab,Confirmed,1.43,0.04,0.04,1.43,0.04,0.04,,,,649.0,3.0,3.0,1.44,0.005,0.005,0.32,0.03,0.03,,,,,2016.0,2024-07-13,,,,,,,,,,,,,,,,,,,,,,,,,36.68,0.93,0.93,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 133131 A,225.899193804,-27.8409866895,8.4,,,,,47.0,,,-0.306,0.016,0.016,0.95,,,,,,G2V,9.7,,,5799.0,19.0,19.0,,,
39,63,1149,HD 133131 Bb,Confirmed,2.5,0.05,0.05,2.5,0.05,0.05,,,,6119.0,831.0,831.0,,,,0.62,0.04,0.04,,,,,2016.0,2024-07-13,,,,2450298.0,,,,,,,,,,,,,,,,,,,,,37.29,0.65,0.65,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 133131 B,225.899193804,-27.8409866895,8.42,,,,,47.0,,,-0.281,0.013,0.013,0.93,,,,,,G2,9.7,,,5805.0,15.0,15.0,,,
40,64,1187,HD 142022 Ab,Confirmed,4.51,0.61,0.61,5.1,1.5,1.5,,,,1933.4,26.645,26.645,2.939,0.062,0.062,0.53,0.18,0.18,71.0,13.0,13.0,0.084472,2005.0,2024-08-01,170.0,10.0,10.0,50941.0,91.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,"Radial Velocity, Astrometry",,,,,HD 142022 A,242.5625,-84.2313889,7.7,,,,,35.87,,,0.19,0.04,0.04,0.99,,,0.705,0.135,0.135,K0V,13.3,3.9,3.9,5382.0,,,,,
41,65,1188,HD 142245 Ab,Confirmed,1.9,0.2,0.2,1.9,0.2,0.2,,,,1299.0,48.0,48.0,2.77,0.09,0.09,0.32,,,,,,0.025297,2011.0,2024-07-29,234.0,60.0,60.0,2454760.0,240.0,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 142245 b,,HD 142245 A,238.2333333,15.4308333,7.63,,,,,109.5,7.4,7.4,0.23,0.03,0.03,1.69,0.12,0.12,5.2,0.1,0.1,K0III,2.3,0.3,0.3,4878.0,44.0,44.0,,,HD 142245
42,66,1191,HD 142 Ab,Confirmed,1.25,0.15,0.15,1.25,0.15,0.15,,,,349.7,1.2,1.2,1.02,0.3,0.3,0.17,0.06,0.06,,,,0.049515,2001.0,2024-07-28,327.0,26.0,26.0,2452683.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 142 b,,HD 142 A,1.5791667,-49.075,5.76,,4.69,4.65,4.47,26.1853,0.04475,0.04475,0.105,0.0097,0.0097,1.21,0.169,0.169,1.458,0.055,0.055,F7IV-V,5.93,,,6252.0,103.4,103.4,IR Excess,,HD 142
43,69,1207,HD 147379 Ab,Confirmed,0.0488,0.0041,0.0041,0.0488,0.0041,0.0041,,,,11.72413,1e-05,1e-05,0.3193,0.0002,0.0002,0.136,0.08,0.08,,,,,2018.0,2024-08-01,2.3,46.0,46.0,,,,,,,,,,,,,,,,,,,,,,4.49,0.22,0.22,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"Gliese 617Ab, GJ 617 Ab",,HD 147379 A,244.179166681,67.238888898,8.9,,,,,10.735,0.026,0.026,0.16,0.16,0.16,0.58,0.08,0.08,0.57,0.06,0.06,M1V,,,,4090.0,50.0,50.0,,,"GJ 617 AA, Gliese 617 A, ENG 57 A"
44,70,1208,HD 147513 Ab,Confirmed,1.21,,,1.21,,,,,,528.4,6.3,6.3,1.32,,,0.26,0.05,0.05,,,,0.102326,2003.0,2024-08-01,282.0,9.0,9.0,51672.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 147513,246.0041667,-39.1927778,5.37,,,,,12.9,,,-0.03,,,0.92,,,1.0,,,G3/G5V,0.65,,,5701.0,,,,,
45,71,1278,HD 164509 Ab,Confirmed,0.48,0.09,0.09,0.48,0.09,0.09,,,,282.4,3.8,3.8,0.875,0.008,0.008,0.26,0.14,0.14,,,,0.016827,2011.0,2024-07-28,324.0,110.0,110.0,2455703.0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 164509 A,270.3791667,0.1044444,8.24,,,,,52.0,3.0,3.0,0.21,0.03,0.03,1.13,0.02,0.02,1.06,0.03,0.03,G5V,1.1,1.0,1.0,5922.0,44.0,44.0,,,
46,72,1287,HD 1666 Ab,Confirmed,6.43,0.22,0.22,6.43,0.22,0.22,,,,270.0,0.9,0.9,0.94,0.02,0.02,0.63,0.03,0.03,,,,,2015.0,2024-07-29,295.0,0.5,0.5,2453526.3,5.3,5.3,,,,,,,,,,,,,,,,,,,199.4,5.5,5.5,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 1666 A,5.216666684,-19.931111141,8.17,,,,,110.6,,,0.37,0.04,0.04,1.5,0.07,0.07,1.93,0.49,0.49,F7V,1.76,0.2,0.2,6317.0,44.0,44.0,,,
47,73,1322,HD 177830 Ab,Confirmed,1.49,0.03,0.03,1.49,0.03,0.03,,,,406.6,0.4,0.4,1.2218,0.0008,0.0008,0.009,0.004,0.004,,,,0.020708,1999.0,2024-07-28,85.0,31.0,31.0,10154.0,35.0,35.0,,,,,,,,,,,,,,,,,,,31.6,0.6,0.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 177830 b,,HD 177830 A,286.3333333,25.9205556,7.18,,,,,59.0,2.8,2.8,0.55,0.03,0.03,1.47,,,2.99,0.39,0.39,K0IV,4.4,2.2,2.2,4948.0,,,,,HD 177830
48,75,1325,HD 178911 Bb,Confirmed,6.292,0.059,0.059,6.292,0.059,0.059,,,,71.487,0.018,0.018,0.32,,,0.1243,0.0075,0.0075,,,,0.006848,2001.0,2024-07-29,169.8,3.6,3.6,50305.7,0.62,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 178911 B,287.2625,34.5997222,7.98,,,,,46.73,,,0.28,0.08,0.08,1.07,,,1.14,,,G5V,5.2,,,5650.0,80.0,80.0,Imaging,,
49,76,1347,HD 185269 Ab,Confirmed,0.94,,,0.94,,,,,,6.838,0.001,0.001,0.077,,,0.3,0.04,0.04,,,,0.001638,2006.0,2024-07-28,173.0,6.8,6.8,2453154.1,0.18,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 185269 b,,HD 185269 A,294.3,28.5,6.67,,,,,47.0,1.0,1.0,0.11,0.05,0.05,1.28,0.1,0.1,1.88,0.1,0.1,G0IV,4.2,,,5980.0,50.0,50.0,,,HD 185269
50,77,1354,HD 188015 Ab,Confirmed,1.26,,,1.26,,,,,,456.46,9.12,9.12,1.19,,,0.15,0.09,0.09,,,,0.022624,2004.0,2024-08-02,293.0,35.7,35.7,2451883.51,53.37,53.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 188015 A,298.0166667,28.1002778,8.22,,,,,52.6,,,0.29,,,1.09,,,1.1,,,G5IV,6.2,2.32,2.32,5520.0,,,,,
51,78,1360,HD 189733 Ab,Confirmed,1.138,0.025,0.025,1.15,,,1.138,0.077,0.077,2.219,,,0.031,,,0.0,,,85.51,0.05,0.05,0.001628,2005.0,2024-07-29,,,,2454037.612,,,,,,2453988.80336,0.00024,0.00024,,,,,,,,,,,,,205.0,,,,,,,,0.4,0.11,0.11,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-4470.01,"C, Ca, CH4, CO, CO2, Fe I, H, H2O, H2S, HCN, He, K, Na, NH3, O, O I, Sc, Ti+",HD 189733 A,300.1791667,22.7108333,7.67,,,,,19.3,0.2,0.2,-0.03,0.04,0.04,0.8,0.4,0.4,0.805,0.016,0.016,K1.5V,0.6,,,4875.0,43.0,43.0,,Yes,"V452 Vul, TOI-4470"
52,79,1378,HD 195019 Ab,Confirmed,3.7,0.3,0.3,3.7,0.3,0.3,,,,18.20163,0.0004,0.0004,0.1388,0.008,0.008,0.014,0.0044,0.0044,,,,0.003715,1998.0,2024-07-28,322.0,20.0,20.0,11015.0,1.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 195019 A,307.0708333,18.77,6.91,,,,,37.36,1.2,1.2,0.08,0.04,0.04,1.06,,,1.38,,,G3 IV-V,5.33,,,5787.0,31.0,31.0,,,
53,80,1379,HD 196050 Ab,Confirmed,2.83,,,2.83,,,,,,1316.24,,,2.47,,,0.21,,,,,,0.052665,2002.0,2024-07-29,223.0,,,51033.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 196050 A,309.4625,-60.6344444,7.49,9.01,6.38,6.12,6.03,50.6742,0.1019,0.1019,0.22,0.007,0.007,1.07,0.14,0.14,1.423,0.077,0.077,G1IV-V,3.17,,,5893.05,147.239,147.239,,,
54,81,1381,HD 196885 Ab,Confirmed,2.67,0.63,0.63,1.96,0.53,0.53,,,,1330.64,0.43,0.43,2.54,0.11,0.11,0.521,0.085,0.085,89.0,44.0,44.0,,2007.0,2024-07-28,150.2,3.0,3.0,1272.9,11.0,11.0,,,,,,,,,,,,,,,,,,,36.94,1.87,1.87,,,,,,,,,,Published in a refereed paper,Radial Velocity,Astrometry,,,,HD 196885 A,309.9625,11.2494444,6.4,,,,,33.0,1.0,1.0,0.29,0.05,0.05,1.33,,,1.79,0.17,0.17,F8V,2.0,0.5,0.5,6340.0,39.0,39.0,,,
55,82,1382,HD 197037 Ab,Confirmed,0.79,0.05,0.05,0.79,0.05,0.05,,,,1035.7,13.0,13.0,2.07,0.05,0.05,0.22,0.07,0.07,,,,0.062727,2012.0,2024-08-04,298.0,26.0,26.0,2451353.1,86.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 197037 b,,HD 197037 A,309.8875,42.2486111,6.81,,,,,33.0,,,-0.2,0.06,0.06,1.11,,,,,,F7V,1.9,,,6150.0,100.0,100.0,,,GNS 11 A
56,83,1392,HD 202772 Ab,Confirmed,1.008,0.079,0.079,,,,1.562,0.069,0.069,3.30896,8.2e-05,8.2e-05,0.0519,0.0012,0.0012,0.047,0.033,0.033,84.2,0.86,0.86,,2018.0,2024-08-04,88.0,120.0,120.0,,,,2458328.68358,0.00035,0.00035,2458330.33,0.051,0.051,,,,,,,0.416,0.078,0.078,,,,96.9,6.0,6.0,2132.0,33.0,33.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"TOI-123 b, TOI-123 Ab, TOI-123.01",,HD 202772 A,319.700000016,-26.616388914,8.32,,,,,147.2,2.4,2.4,0.29,0.24,0.24,1.703,0.12,0.12,2.614,0.11,0.11,F7IV,1.8,0.3,0.3,6230.0,98.0,98.0,,,"TOI-123, TIC 290131778"
57,84,1413,HD 20781 b,Confirmed,0.00607,0.00123,0.00123,0.00607,0.00123,0.00123,,,,5.3135,0.001,0.001,0.0529,0.0027,0.0027,0.1,0.07,0.07,,,,,2011.0,2024-02-19,84.0,108.0,108.0,2455503.2027,1.5,1.5,,,,,,,,,,,,,,,,,,,0.91,0.15,0.15,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 20781,50.0125,-28.7838889,8.44,,,,,35.4,1.0,1.0,,,,,,,,,,G9.5V,,,,,,,,,
58,88,1417,HD 20782 b,Confirmed,1.9,0.5,0.5,1.9,0.5,0.5,,,,591.9,2.8,2.8,1.381,0.005,0.005,0.97,0.01,0.01,,,,0.03834,2006.0,2016-01-19,147.7,6.5,6.5,2451175.9,8.4,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 20782,50.0125,-28.8538889,7.38,,,,,36.02,1.0,1.0,-0.05,0.03,0.03,1.0,0.03,0.03,,,,G2 V,7.1,4.3,4.3,5578.0,30.0,30.0,,,
59,89,1418,HD 207832 Ab,Confirmed,0.56,0.03,0.03,0.56,0.03,0.03,,,,161.97,0.78,0.78,0.57,0.002,0.002,0.13,0.05,0.05,,,,,2012.0,2024-08-06,130.8,83.4,83.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 207832 b,,HD 207832 A,328.15,-26.0267,8.7986,,,,,54.4,2.7,2.7,0.06,,,0.94,0.1,0.1,0.901,0.056,0.056,G5V,4.5,4.5,4.5,5710.0,81.0,81.0,,,HD 207832
60,91,1435,HD 212301 Ab,Confirmed,0.4,,,0.4,,,1.07,,,2.245715,2.8e-05,2.8e-05,0.036,,,0.0147,0.0147,0.0147,,,,0.000683,2005.0,2024-08-04,172.8,85.6,85.6,2453388.9,,,,,,,,,,,,,,,,,,53549.195,0.004,0.004,59.5,0.7,0.7,,,,,,,,,,Published in a refereed paper,Radial Velocity,,Theoretical,HD 212301 b,,HD 212301 A,336.875,-77.7177778,7.77,,,,,54.2304,0.08585,0.08585,0.188,0.0133,0.0133,1.22,0.187,0.187,1.166,0.0575,0.0575,F7V,5.9,2.4,2.4,6273.13,141.584,141.584,,,HD 212301
61,92,1437,HD 213240 Ab,Confirmed,4.5,,,4.5,,,,,,951.0,42.0,42.0,2.03,,,0.45,0.04,0.04,,,,0.049816,2001.0,2024-08-04,214.0,7.0,7.0,51520.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 213240 A,337.75,-49.4330556,6.8,,,,,40.75,,,0.16,,,1.22,,,1.5,,,G4IV,5.11,,,5975.0,,,,,
62,93,1462,HD 217786 Ab,Confirmed,13.852,1.311,1.311,13.0,0.8,0.8,,,,1301.4,0.5,0.5,2.446,0.119,0.119,0.311,0.003,0.003,69.767,0.386,0.386,0.043431,2010.0,2024-08-04,100.167,0.689,0.689,56053.0,7.0,7.0,,,,,,,,,,,,,,,,,,,231.499,0.127,0.127,,,,,,,,,,Published in a refereed paper,"Radial Velocity, Astrometry",Radial Velocity,,HD 217786 b,,HD 217786 A,345.7833333,0.4297222,7.8,,,,,54.8,2.0,2.0,-0.135,0.043,0.043,1.02,0.03,0.03,1.27,0.06,0.06,F8V,7.6,,,5966.0,65.0,65.0,,,HD 217786
63,95,1491,HD 222582 Ab,Confirmed,7.75,0.65,0.65,7.75,0.65,0.65,,,,572.38,0.61,0.61,1.35,0.08,0.08,0.725,0.012,0.012,,,,0.032143,1999.0,2024-08-05,319.01,0.87,0.87,2450706.7,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 222582 A,355.4625,-5.9855556,7.7,,,,,42.0,,,-0.0229,,,0.99,,,1.15,,,G5V,6.16,,,5662.0,,,,,LDS 5112 A
64,96,1504,HD 233832 Ab,Confirmed,2.72,0.23,0.23,2.72,0.23,0.23,,,,4047.0,117.0,117.0,4.438,0.09,0.09,0.381,0.029,0.029,,,,,2018.0,2024-07-31,321.365,8.0,8.0,2456874.9,90.0,90.0,,,,,,,,,,,,,,,,,,,47.18,3.2,3.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 233832 A,171.520833335,50.37555557,10.0,,,,,58.8,0.3,0.3,-0.66,0.03,0.03,0.71,0.02,0.02,0.68,0.03,0.03,K0V,5.417,4.2,4.2,4981.0,31.0,31.0,,,
65,97,1506,HD 23472 Ab,Confirmed,0.02618,0.00249,0.00249,,,,0.16701,0.11785,0.11785,17.667087,4.2e-05,4.2e-05,0.1162,0.0018,0.0018,0.072,0.04,0.04,88.93,0.16,0.16,,2018.0,2024-07-30,114.0,210.0,210.0,,,,,,,2458360.6641,0.0012,0.0012,,,,,,,0.69,0.09,0.09,,,,2.68,0.24,0.24,543.0,18.0,18.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-174 b,,HD 23472 A,55.45833335,-62.76694446,9.7,,,,,39.1,0.04,0.04,,,,0.75,0.03,0.03,0.73,0.01,0.01,K3.5V,,,,,,,,,TOI-174
66,102,1513,HD 238090 Ab,Confirmed,0.02168,0.00299,0.00299,0.02168,0.00299,0.00299,,,,13.671,0.011,0.011,0.0932,0.0011,0.0011,0.3,0.17,0.17,,,,,2020.0,2024-08-01,119.3,25.0,25.0,2458630.09,0.55,0.55,,,,,,,,,,,,,,,,,,,2.85,0.39,0.39,469.6,2.6,2.6,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,GJ 458 Ab,,HD 238090,183.08691419254316,54.48575632298505,10.0,,,,,14.24,0.01,0.01,-0.03,0.16,0.16,0.578,0.021,0.021,0.57,0.016,0.016,M0V,,,,3933.0,51.0,51.0,,,GJ 458 A
67,103,1531,HD 2638 Ab,Confirmed,0.48,,,0.48,,,1.04,,,3.444,0.008239,0.008239,0.044,,,0.0,,,,,,0.000819,2005.0,2024-07-28,126.9,,,2453323.282,,,,,,,,,,,,,,,,,,53323.206,0.002,0.002,67.4,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,HIP 2350 b,,HD 2638 A,7.4958333,-5.7638889,9.44,,,,,53.71,,,0.16,0.05,0.05,0.93,,,,,,G5V,3.0,,,5192.0,38.0,38.0,,,
68,104,1544,HD 28254 Ab,Confirmed,1.16,0.06,0.06,1.16,0.06,0.06,,,,1116.0,26.0,26.0,2.15,0.05,0.05,0.81,0.02,0.02,,,,0.038256,2009.0,2024-07-30,301.0,4.0,4.0,4049.0,55.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,HD 28254 b,,HD 28254 A,66.2125,-50.6222222,7.71,,,,,56.2,2.0,2.0,0.36,0.03,0.03,1.06,,,1.48,0.06,0.06,G1IV/V,,,,5664.0,35.0,35.0,,,HD 28254
69,105,1561,HD 30856 Ab,Confirmed,1.8,0.2,0.2,1.8,0.2,0.2,,,,912.0,41.0,41.0,2.0,0.08,0.08,0.24,,,,,,0.016935,2011.0,2024-07-28,180.0,60.0,60.0,2455260.0,150.0,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 30856 b,,HD 30856 A,72.575,-24.3688889,8.07,,,,,118.1,9.9,9.9,-0.06,0.03,0.03,1.35,0.094,0.094,4.2,0.1,0.1,K0III,3.8,1.0,1.0,4982.0,44.0,44.0,,,HD 30856
70,106,1600,HD 38529 Ab,Confirmed,0.93,0.11,0.11,0.78,,,,,,14.3104,0.0002,0.0002,0.131,0.0015,0.0015,0.248,0.007,0.007,57.0,14.0,14.0,0.003335,2000.0,2024-07-30,95.9,1.7,1.7,50020.19,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 38529 A,86.6416667,1.1680556,5.94,,4.91,4.38,4.21,39.28,0.4,0.4,0.27,0.05,0.05,1.48,0.05,0.05,2.44,0.22,0.22,G4IV,3.28,0.3,0.3,5697.0,,,IR Excess,,
71,108,1612,HD 39855 Ab,Confirmed,0.0267,0.0047,0.0047,0.0267,0.0047,0.0047,,,,3.2498,0.0004,0.0004,0.041,0.001,0.001,0.14,0.11,0.11,,,,,2019.0,2024-07-30,102.97,79.77,79.77,,,,,,,,,,,,,,,,,,,,,,4.08,0.71,0.71,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 39855 A,88.63,-19.7,,,,,,23.28,0.02,0.02,,,,0.87,0.05,0.05,,,,G8V,,,,5576.0,46.0,46.0,,,ADS 4503 A
72,109,1621,HD 40979 Ab,Confirmed,4.01,0.13,0.13,4.01,0.13,0.13,,,,264.1,0.23,0.23,0.846,0.007,0.007,0.252,0.014,0.014,,,,0.024925,2002.0,2024-07-30,323.4,4.1,4.1,2453919.0,2.7,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 40979 A,91.1208333,44.2602778,6.74,,,,,33.3,,,0.194,,,1.1,,,1.21,,,F8V,1.48,,,6205.0,50.0,50.0,IR Excess,,
73,110,1622,HD 41004 Ab,Confirmed,2.54,0.74,0.74,2.54,0.74,0.74,,,,963.0,38.0,38.0,1.64,,,0.39,0.17,0.17,,,,0.038588,2004.0,2024-07-28,97.0,31.0,31.0,2452425.0,0.74,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 41004 A,89.9541667,-48.2394444,8.65,,,,,42.5,,,-0.09,0.1,0.1,0.7,,,,,,K1 V,1.64,,,5035.0,,,,,
74,111,1623,HD 41004 Bb,Confirmed,18.4,0.22,0.22,18.4,0.22,0.22,1.06,,,1.32363,8.9e-05,8.9e-05,0.0177,,,0.058,0.0511,0.0511,,,,0.000411,2004.0,2024-07-28,149.0,72.2,72.2,2452532.699,0.0029,0.0029,,,,,,,,,,,,,,,,,,,4599.21,338.0,338.0,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 41004 B,89.9583333,-48.2397222,12.33,,,,,43.03,,,-0.01,,,0.4,,,,,,M2,1.56,0.8,0.8,5035.0,,,,,
