,level_0,index,name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
75,112,1624,HD 4113 Ab,Confirmed,1.56,0.04,0.04,1.56,0.04,0.04,,,,526.62,0.3,0.3,1.28,,,0.903,0.005,0.005,,,,0.029091,2007.0,2024-06-15,317.7,1.9,1.9,3778.0,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 4113 b,,HD 4113 A,10.8041667,-37.9825,7.88,,6.672,6.345,6.289,41.8727,0.09465,0.09465,0.235,0.0213,0.0213,1.0,0.12,0.12,1.084,0.0469,0.0469,G3V,4.8,0.0,0.0,5655.45,106.298,106.298,,,HD 4113
76,114,1631,HD 42936 Ab,Confirmed,0.00812,0.00182,0.00182,0.00812,0.00182,0.00182,,,,6.6732,0.0003,0.0003,0.0662,0.0013,0.0013,0.14,0.05,0.05,,,,,2019.0,2024-08-06,80.57,62.0,62.0,2454579.56469,,,,,,,,,,,,,,,,,,,,,0.97,0.2,0.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Spectrum,,"DMPP-3 b, DMPP-3 Ab",,HD 42936 A,91.62500001,-72.512777798,9.1,,,,,48.9,0.6,0.6,0.18,0.09,0.09,0.87,0.05,0.05,0.91,0.02,0.02,K0IV-V,10.9,4.7,4.7,5138.0,99.0,99.0,,,DMPP-3
77,115,1636,HD 43691 Ab,Confirmed,2.57,0.34,0.34,2.57,0.34,0.34,,,,36.99913,0.00092,0.00092,0.238,0.016,0.016,0.085,0.012,0.012,,,,0.002575,2007.0,2024-07-30,281.2,7.0,7.0,54046.6,,,,,,,,,,,,,,,,,,,,,130.4,1.4,1.4,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 43691 b,,HD 43691 A,94.8958333,41.0922222,8.02,,6.97,6.77,6.7,85.6,0.3652,0.3652,0.3,0.1,0.1,1.14,0.12,0.12,1.733,0.086,0.086,G0IV,2.39,0.37,0.37,6093.0,84.74,84.74,,,HD 43691
78,116,1646,HD 46375 Ab,Confirmed,0.23,,,0.23,,,1.02,,,3.02358,6.44902e-05,6.44902e-05,0.041,,,0.0524,0.032,0.032,,,,0.001228,2000.0,2024-07-30,113.7,34.3,34.3,2451920.7,,,,,,,,,,,,,,,,,,,,,33.67,0.81,0.81,,,,,,,,,,Published in a refereed paper,Radial Velocity,,Theoretical,HD 46375 b,,HD 46375 A,98.3,5.4627778,7.84,,6.45,6.07,6.0,29.5529,0.0383,0.0383,0.271,0.06,0.06,0.9328,0.4017,0.4017,0.914,0.019,0.019,G9/K0V,9.0,4.0,4.0,5264.378,74.1,74.1,IR Excess,,"HD 46375, SLE 299 A, Cl* NGC 2244 VS 126"
79,117,1651,HD 4732 Ab,Confirmed,2.37,0.34,0.34,2.37,0.34,0.34,,,,360.2,1.4,1.4,1.19,0.05,0.05,0.13,0.06,0.06,,,,,2013.0,2024-07-30,85.0,16.0,16.0,2454967.0,18.0,18.0,,,,,,,,,,,,,,,,,,,47.3,3.5,3.5,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,"HR 228 b, HD 4732 b, HR 228 A b",,HD 4732 A,12.3081192546,-24.1366728942,5.9,,,,,56.5,3.2,3.2,0.01,0.04,0.04,1.74,0.14,0.14,5.4,0.4,0.4,K0III-IV,,,,4959.0,25.0,25.0,,,HD 4732
80,119,1671,HD 5278 Ab,Confirmed,0.0245,0.0044,0.0044,,,,0.2186,0.0045,0.0045,14.33902,7e-05,7e-05,0.12,0.0031,0.0031,0.08,0.05,0.05,89.27,0.48,0.48,,2021.0,2024-07-28,134.5,278.0,278.0,,,,,,,2458680.69932,0.00083,0.00083,,,,,,,0.27,0.18,0.18,,,,1.93,0.35,0.35,943.0,13.0,13.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"TOI-130 b, TOI-130 Ab, TOI-130.01",,HD 5278 A,12.54166667,-83.743888912,8.0,,6.95,6.67,6.6,56.12,0.83,0.83,-0.12,0.04,0.04,1.126,0.036,0.036,1.194,0.017,0.017,F8V,3.0,1.1,1.1,6203.0,64.0,64.0,,,"TOI-130, TOI-130 A"
81,121,1683,HD 59686 Ab,Confirmed,6.92,0.24,0.24,6.92,0.24,0.24,,,,299.36,0.31,0.31,1.086,0.0007,0.0007,0.05,0.02,0.02,,,,0.009902,2003.0,2024-07-24,,,,,,,,,,,,,,,,,,,,,,,,,136.9,4.6,4.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"HR 2877 b, HIP 36616 b",,HD 59686 A,112.95,17.0858333,5.45,,,,,96.8,2.6,2.6,0.15,0.1,0.1,1.9,0.2,0.2,13.2,0.3,0.3,K2 III,1.73,0.47,0.47,4658.0,24.0,24.0,,,"HR 2877, HIP 36616"
82,122,1700,HD 65216 Ab,Confirmed,1.295,0.062,0.062,1.295,0.062,0.062,,,,577.6,1.3,1.3,1.301,0.02,0.02,0.27,0.02,0.02,,,,0.039942,2003.0,2024-07-30,212.0,3.0,3.0,50762.0,25.0,25.0,,,,,,,,,,,,,,,,,,,35.7,1.28,1.28,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 65216 b,,HD 65216 A,118.4208333,-63.6472222,7.98,,,,,35.1205,0.0394,0.0394,-0.168,0.0069,0.0069,1.0,0.1,0.1,0.886,0.042,0.042,G5V,4.0,4.0,4.0,5623.44,169.0,169.0,,,"HD 65216, MUG 8 A"
83,124,1738,HD 7449 Ab,Confirmed,8.174,2.699,2.699,0.508,0.111,0.111,,,,1270.6,7.4,7.4,2.438,0.063,0.063,0.752,0.032,0.032,171.631,3.74,3.74,0.058974,2011.0,2024-07-28,336.427,3.426,3.426,2455298.0,22.0,22.0,,,,,,,,,,,,,,,,,,,30.023,5.82,5.82,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HIP 5806 b,,HD 7449 A,18.6208333,-5.0475,7.5,,,,,39.0,1.0,1.0,-0.11,0.01,0.01,1.05,,,1.01,,,F8V,2.1,0.24,0.24,6024.0,13.0,13.0,,,HD 7449
84,126,1742,HD 75289 Ab,Confirmed,0.47,,,0.47,,,1.03,,,3.50928,7.2946e-05,7.2946e-05,0.046,,,0.0211,0.0217,0.0217,,,,0.001589,1999.0,2024-07-30,136.3,73.9,73.9,2452593.9,0.48,0.48,,,,,,,,,,,,,,,,,,,54.84,1.87,1.87,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 75289 A,131.9166667,-41.7366667,6.35,,,,,28.94,,,0.29,,,1.05,,,1.25,,,F9/G0V,4.96,,,6120.0,45.0,45.0,,,
85,127,1759,HD 80606 b,Confirmed,4.1641,0.0047,0.0047,,,,1.032,0.015,0.015,111.436765,7.4e-05,7.4e-05,0.4603,0.0021,0.0021,0.93183,0.00014,0.00014,89.24,0.01,0.01,0.007688,2001.0,2024-07-30,301.213,0.043,0.043,2454424.857,0.05,0.05,,,,24548888.07466,0.002,0.002,2458882.214,0.0021,0.0021,,,,,,,,,,469.22,0.61,0.61,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Primary Transit,,K,HD 80606,140.6541667,50.6036111,8.93,,,,,58.4,15.0,15.0,0.43,0.06,0.06,0.98,0.1,0.1,0.98,0.07,0.07,G5V,7.63,,,5645.0,45.0,45.0,,,
86,128,1783,HD 86081 A b,Confirmed,1.5,,,1.5,,,1.08,,,1.99809,0.006778,0.006778,0.039,,,0.0575,0.108,0.108,,,,0.000429,2006.0,2019-12-12,332.6,71.5,71.5,2453753.2,0.3,0.3,,,,,,,,,,,,,,,,,,,189.65,12.09,12.09,,,,,,,,,,Published in a refereed paper,Radial Velocity,,Theoretical,HD 86081 b,,HD 86081 A,149.025,-3.8083333,8.73,,,,,91.0,,,0.257,0.03,0.03,1.21,0.05,0.05,1.22,0.1,0.1,F8V,6.21,,,6028.0,44.0,44.0,,,HD 86081
87,129,1787,HD 8673 Ab,Confirmed,14.2,1.6,1.6,14.2,1.6,1.6,,,,1634.0,17.0,17.0,3.02,0.15,0.15,0.723,0.016,0.016,,,,0.078954,2010.0,2024-07-28,323.4,3.5,3.5,2454420.5,7.9,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 8673 b,,HD 8673 A,21.5333333,34.5794444,7.57,,,,,38.25,1.2,1.2,0.14,0.05,0.05,1.35,0.1,0.1,1.39,0.1,0.1,F7 V,1.95,,,6472.0,51.0,51.0,,,HD 8673
88,130,1789,HD 87646 A b,Confirmed,12.4,0.7,0.7,12.4,0.7,0.7,,,,13.481,0.001,0.001,0.117,0.003,0.003,0.05,0.02,0.02,,,,,2016.0,2017-06-08,,,,,,,,,,,,,,,,,,,,,,,,,956.0,25.0,25.0,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 87646 A,151.66987043,17.8951036382,8.0,,,,,,,,-0.17,0.08,0.08,1.12,0.09,0.09,1.55,0.22,0.22,G1IV,,,,5770.0,80.0,80.0,,,
89,132,1797,HD 89744 Ab,Confirmed,10.32,1.38,1.38,8.35,0.18,0.18,,,,256.78,0.02,0.02,0.917,0.009,0.009,0.677,0.003,0.003,54.0,12.0,12.0,0.022,2000.0,2024-08-06,193.7,0.4,0.4,,,,,,,,,,,,,,,,,,,964.0,2.0,2.0,269.66,1.45,1.45,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 89744 A,155.5416667,41.2294444,5.74,,,,,38.6364,0.1077,0.1077,0.224,0.0116,0.0116,1.21,0.173,0.173,2.132,0.1018,0.1018,F7IV,2.04,,,6249.16,133.569,133.569,,,"WIL 2 A, MUG 7 A"
90,134,1841,HD 98736 Ab,Confirmed,2.33,0.78,0.78,2.33,0.78,0.78,,,,968.8,2.2,2.2,1.864,0.091,0.091,0.226,0.064,0.064,,,,,2018.0,2024-07-28,162.0,22.0,22.0,2463541.0,67.0,67.0,,,,,,,,,,,,,,,,,,,52.0,12.0,12.0,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,GJ 426 Ab,,HD 98736 A,170.454166683,18.190000009,8.52,,,,,31.0,,,0.24,,,0.92,0.13,0.13,0.93,0.04,0.04,G5V,7.4,3.0,3.0,5544.0,,,,,GJ 426 A
91,135,1844,HD 99492 b,Confirmed,0.0802,0.0019,0.0019,0.0802,0.0019,0.0019,,,,17.0503,0.0016,0.0016,,,,0.034,0.025,0.025,,,,0.006844,2004.0,2024-08-14,154.3,49.0,49.0,2453776.317,3.39,3.39,,,,,,,,,,,,,,,,,,,7.05,0.18,0.18,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,83 Leo B b,,HD 99492,171.6916667,3.0061111,7.38,,,,,18.0,1.14,1.14,0.36,,,0.83,,,0.96,0.11,0.11,K2V,4.8,4.1,4.1,4740.0,,,,,83 Leo B
92,137,1856,HIP 107773 Ab,Confirmed,1.98,0.21,0.21,1.98,0.21,0.21,,,,144.3,0.5,0.5,0.72,0.03,0.03,0.09,0.06,0.06,,,,,2015.0,2024-07-28,166.0,33.0,33.0,2456202.3,12.8,12.8,,,,,,,,,,,,,,,,,,,42.7,2.7,2.7,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HIP 107773 A,327.5,-64.712500024,5.62,,,,,106.0,4.0,4.0,0.03,0.1,0.1,2.42,0.27,0.27,11.6,1.4,1.4,K0III,,,,4945.0,100.0,100.0,,,HD 207229
93,138,1919,HIP 65 Ab,Confirmed,3.213,0.078,0.078,,,,2.03,0.49,0.49,0.9809734,3.1e-06,3.1e-06,0.01782,0.00021,0.00021,0.0,,,77.18,1.0,1.0,,2020.0,2024-07-30,,,,,,,,,,2458326.10418,0.0001,0.0001,,,,,,,1.169,0.077,0.077,,,,753.7,51.0,51.0,1411.0,15.0,15.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-129 b,,HIP 65 A,0.187500015,-54.830833361,11.1,,,,,61.89,0.08,0.08,0.18,0.08,0.08,0.781,0.027,0.027,0.7242,0.009,0.009,K4V,4.1,2.8,2.8,4590.0,49.0,49.0,,,TOI-129
94,140,1927,HIP 70849 b,Confirmed,4.58,0.09,0.09,4.58,0.09,0.09,,,,3659.0,4.0,4.0,3.99,0.07,0.07,0.66,0.004,0.004,90.0,21.0,21.0,0.416667,2009.0,2024-08-30,,,,,,,,,,,,,,,,,,,,,,,,,75.52,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,GJ 9482 b,,HIP 70849,217.3291667,-46.4638889,10.36,,,,,24.0,1.2,1.2,,,,0.63,0.03,0.03,,,,K7V,3.0,2.0,2.0,4105.0,130.0,130.0,,,GJ 9482
95,141,1963,HR 858 Ab,Confirmed,,,,,,,0.18601,0.00571,0.00571,3.58599,0.00015,0.00015,0.048,0.001,0.001,0.3,0.3,0.3,85.5,0.5,0.5,,2019.0,2024-07-30,,,,,,,,,,2458409.18969,0.00084,0.00084,,,,,,,0.59,0.27,0.27,,,,,,,1572.0,20.0,20.0,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,"HD 17926 b, HD 17926 Ab, TOI-396 b, TOI-396.02",,HR 858 A,42.983333352,-30.814444472,6.4,,,,,32.0,0.15,0.15,-0.14,0.08,0.08,1.145,0.08,0.08,1.31,0.022,0.022,F8IV-V,,,,6201.0,50.0,50.0,,,"HD 17926, TOI-396, TIC 178155732"
96,144,2087,K2-136 Ab,Confirmed,,,,,,,0.088,0.0036,0.0036,7.975292,0.00077,0.00077,,,,0.1,0.07,0.07,89.3,0.7,0.7,,2017.0,2024-07-28,12.0,70.0,70.0,,,,2457817.75631,0.00489,0.00489,2457817.75631,0.0049,0.0049,,,,,,,0.27,0.19,0.19,,,,,,,553.0,27.0,27.0,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,"EPIC 247589423 b, LP 358-348 b, K2-136 b, 2MASS J04293897+2252579 b, K2-136 A b, WISE J042939.05+225257.4 b, TOI-5087 b, TOI-5087.01",,K2-136 A,67.41246,22.882721,11.2,,9.096,8.496,8.368,59.2474,0.1865,0.1865,-0.02,0.08,0.08,0.742,0.038,0.038,0.677,0.027,0.027,K5V,0.65,0.07,0.07,4500.0,75.0,75.0,,,"EPIC 247589423, LP 358-348, TOI-5087, 2MASS J04293897+2252579, EPIC 247589423 A, LP 358-348 A, WISE J042939.05+225257.4, WISE J042939.05+225257.4 A, TIC 18310799"
97,147,2230,K2-228 Bb,Confirmed,,,,,,,0.108,0.005,0.005,2.69828,0.00022,0.00022,0.0338,0.0003,0.0003,,,,,,,,2018.0,2024-08-01,,,,,,,2457583.1943,0.0041,0.0041,,,,,,,,,,0.42,0.29,0.29,,,,,,,914.0,13.0,13.0,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J12291074-0650033 b, EPIC 228798746 b, EPIC 228798746.01, WISE J122910.73-065003.2 b",,K2-228 B,187.294785,-6.834258,,,10.978,10.439,,142.4,3.2,3.2,-0.25,0.06,0.06,0.71,0.02,0.02,0.65,0.01,0.01,K3V,,,,4715.0,46.0,46.0,,,"WISE J122910.73-065003.2, EPIC 228798746, 2MASS J12291074-0650033"
98,148,2234,K2-22 Ab,Confirmed,1.4,1.4,1.4,,,,0.223,0.036,0.036,0.381078,1e-06,1e-06,0.0088,0.0008,0.0008,,,,,,,,2015.0,2024-07-29,,,,,,,2456811.1208,0.0006,0.0006,2456811.1216,2.4e-05,2.4e-05,,,,,,,0.65,0.13,0.13,,,,280.0,0.0,0.0,2100.0,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,"K2-22 b, WISE J111755.84+023708.4 b, EPIC 201637175 b, EPIC 201637175.01, EPIC 201637175 Ab, TIC 363445338 b, 2MASS J11175587+0237086 b",Na,K2-22 A,169.482819,2.61907,17.0,,12.726,12.088,,245.53,2.81,2.81,0.03,0.08,0.08,0.6,0.07,0.07,0.57,0.06,0.06,M0V,,,,3830.0,100.0,100.0,,,"K2-22, EPIC 201637175, WISE J111755.84+023708.4, EPIC 201637175 A, TIC 363445338, 2MASS J11175587+0237086"
99,149,2317,K2-288 Bb,Confirmed,,,,,,,0.152,0.0321,0.0321,31.393463,6.9e-05,6.9e-05,0.164,0.03,0.03,,,,89.81,0.17,0.17,,2018.0,2024-07-28,,,,,,,,,,2457963.40237,0.0011,0.0011,,,,,,,0.37,0.25,0.25,,,,,,,226.36,22.3,22.3,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,"EPIC 210693462 b, EPIC 210693462.01, LP 413-32 Bb",,K2-288 B,55.44344476092725,18.26881022021178,,,,,,65.6138,0.8594,0.8594,-0.21,0.09,0.09,0.33,0.02,0.02,0.32,0.03,0.03,M3V,1.0,,,3341.0,276.0,276.0,,,"EPIC 210693462, LP 413-32 B"
100,150,2320,K2-290 Ab,Confirmed,0.0343,,,,,,0.273,0.014,0.014,9.21165,0.00034,0.00034,0.0923,0.0066,0.0066,0.0,,,88.14,0.5,0.5,,2019.0,2024-07-28,90.0,,,,,,2457994.7725,0.0015,0.0015,2457994.7725,0.0016,0.0016,,,,173.0,53.0,53.0,0.438,0.023,0.023,,,,3.3,,,1230.0,38.0,38.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"EPIC 249624646 b, 2MASS J15392585-2011557 b, TYC 6193-663-1 b, WISE J153925.88-201155.9 b",,K2-290 A,234.857773,-20.198818,10.0,,9.771,9.477,9.42,272.909,3.721,3.721,-0.06,0.1,0.1,1.19,0.08,0.08,1.51,0.07,0.07,F7IV-V,4.0,0.8,0.8,6302.0,120.0,120.0,,,"BD-19 4173, TYC 6193-663-1, WISE J153925.88-201155.9, EPIC 249624646, 2MASS J15392585-2011557"
101,152,2333,K2-29 Ab,Confirmed,0.73,0.04,0.04,0.73,0.04,0.04,1.19,0.02,0.02,3.2588321,1.9e-06,1.9e-06,0.04217,0.00024,0.00024,0.066,0.022,0.022,86.656,0.08,0.08,,2016.0,2024-08-01,132.0,21.0,21.0,,,,2453219.0095,0.0022,0.0022,2453219.0095,0.0022,0.0022,,,,1.5,8.7,8.7,0.58,0.02,0.02,,,,103.5,5.4,5.4,1171.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"WASP-152 bB, EPIC 211089792 bb, WISE J041040.88+242405.9 b, EPIC 211089792 Ab, EPIC 211089792.01a, TOI-4623.01, TYC 1818-1428-1 b b, 1SWASP J041040.95+242407.3 b b, 2MASS J04104086+2424061 bb",,K2-29 A,62.670647,24.402042,12.56,,10.622,10.168,10.06,178.475,1.301,1.301,0.2829,0.0188,0.0188,0.935,0.09817,0.09817,0.817,0.074,0.074,G7V,2.6,1.2,1.2,5387.06,144.837,144.837,,,"EPIC 211089792, WASP-152, WISE J041040.88+242405.9, EPIC 211089792 A, TOI-4623, TYC 1818-1428-1, 1SWASP J041040.95+242407.3, 2MASS J04104086+2424061"
102,153,2595,KELT-2 Ab,Confirmed,1.486,0.088,0.088,,,,1.306,0.067,0.067,4.1137914,1e-05,1e-05,0.05498,0.0004,0.0004,0.185,0.08,0.08,,,,0.000427,2012.0,2024-08-01,160.0,110.0,110.0,2455974.83,1.2,1.2,,,,2455974.60356,0.00084,0.00084,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,"HD 42176 b, HD 42176 Ab, TOI-4612.01",,KELT-2 A,92.6625,30.9572222,8.7,,,,,128.9,8.8,8.8,-0.015,0.071,0.071,1.31,0.03,0.03,1.842,0.071,0.071,F8IV,,,,6148.0,49.0,49.0,,,"HD 42716, TOI-4612"
103,154,2597,KELT-4 Ab,Confirmed,0.9,0.06,0.06,0.878,0.067,0.067,1.7,0.05,0.05,2.989594,5e-06,5e-06,0.04321,0.00077,0.00077,0.03,0.021,0.021,83.11,0.57,0.57,,2013.0,2024-09-06,300.0,130.0,130.0,2456190.30201,0.00022,0.00022,,,,,,,2456188.815,0.032,0.032,80.0,25.0,25.0,0.689,0.0012,0.0012,,,,108.6,7.4,7.4,1827.0,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Primary Transit,"BD+26 2091 Ab, TOI-5384.01",,KELT-4 A,157.062545838,25.573194461,9.98,,9.01,8.79,8.69,211.0,13.0,13.0,-0.116,0.071,0.071,1.204,0.063,0.063,1.61,0.068,0.068,F8IV,4.38,0.88,0.88,6207.0,76.0,76.0,,,"BD+26 2091 A, TOI-5384"
104,155,2731,Kepler-108 Bb,Confirmed,,,,,,,0.732,0.0491,0.0491,49.183921,5.4e-05,5.4e-05,0.2829,,,0.22,0.12,0.12,89.94,,,,2014.0,2024-07-30,,,,,,,2454974.91123,0.00066,0.00066,,,,,,,,,,0.03,0.15,0.15,,,,,,,669.0,,,,,,,,,Announced on a website,Primary Transit,,Primary Transit,"Kepler-108 b, KOI-119.01, WISE J193814.19+460344.4 b, KOI-119 Bb, KOI-119 b, K00119.01, KIC 9471974 b, 2MASS J19381420+4603443 b",,Kepler-108 B,294.559169,46.062325,12.66,,11.43,11.065,10.983,689.95,48.74,48.74,0.36,0.15,0.15,1.247,0.067,0.067,2.057,0.138,0.138,G2IV,3.89,0.4,0.4,5626.0,78.0,78.0,,,"KOI-119, WISE J193814.19+460344.4, KIC 9471974, TIC 271164755, UCAC4 681-071694, 2MASS J19381420+4603443"
105,157,3042,Kepler-1319 Ab,Confirmed,,,,,,,0.1106,0.018,0.018,2.8867624,3.741e-06,3.741e-06,0.0296,,,0.33,0.08,0.08,84.91,,,,2016.0,2024-07-29,,,,,,,2454964.666,0.00125,0.00125,2455371.69953,0.00128,0.00128,,,,,,,0.92,0.691,0.691,,,,,,,557.0,,,,,,,,,Announced on a website,Primary Transit,,Primary Transit,"KIC 11453592 b, KOI-2705 Ab, 2MASS J19234945+4921587 b, K02705.01, KOI-2705 b, KOI-2705.01, WISE J192349.49+492159.9 b, TIC 417676990 b",,Kepler-1319 A,290.956068,49.366306,,,11.57,10.927,10.726,103.917,0.353,0.353,-0.03,,,0.498,0.02,0.02,0.5,0.015,0.015,M1V,5.37,-3.54,-3.54,3527.0,157.0,157.0,,,"KOI-2705, WISE J192349.49+492159.9, KIC 11453592, TIC 417676990, KOI-2705 A, 2MASS J19234945+4921587"
